similar_questions,total_submission,like,paid_only,title,url,topics,level,companies,ac_rate,frequency,dislike,total_accpeted,id
"[u'3Sum', u'4Sum', u'Two Sum II - Input array is sorted', u'Two Sum III - Data structure design', u'Subarray Sum Equals K', u'Two Sum IV - Input is a BST']",2600000.0,6668.0,False,TwoSum,https://leetcode.com/problems/two-sum/description/,"[u'Array', u'Hash Table']",Easy,"[u'Adobe\xa0111', u'Amazon\xa044', u'Google\xa036', u'Alibaba\xa030', u'Facebook\xa021', u'Baidu\xa020', u'Microsoft\xa020', u'Apple\xa019', u'LinkedIn\xa014', u'Airbnb\xa011', u'Tencent\xa010', u'Aetion\xa09', u'Zenefits\xa07', u'Bloomberg\xa06', u'eBay\xa05', u'Uber\xa04', u'Yahoo\xa03', u'Games\xa03', u'Two Sigma\xa03', u'Lyft\xa03']",0.384615384615,628.2855108564116,185.0,1000000.0,1.0
[u'Wildcard Matching'],877300.0,1321.0,False,RegularExpressionMatching,https://leetcode.com/problems/regular-expression-matching/description/,"[u'String', u'Dynamic Programming', u'Backtracking']",Hard,"[u'Facebook\xa025', u'Microsoft\xa08', u'Google\xa06', u'Coursera\xa03', u'Adobe\xa02', u'Bloomberg\xa02', u'Apple\xa02', u'Yelp\xa02', u'Uber\xa0', u'Twitter\xa0', u'Airbnb\xa0']",0.24358828223,577.0636683477086,319.0,213700.0,10.0
[],593400.0,620.0,False,SameTree,https://leetcode.com/problems/same-tree/description/,"[u'Tree', u'Depth-first Search']",Easy,"[u'Amazon\xa09', u'LinkedIn\xa07', u'Google\xa05', u'Bloomberg\xa0']",0.481799797776,535.0875639467899,17.0,285900.0,100.0
[],670500.0,1203.0,False,SymmetricTree,https://leetcode.com/problems/symmetric-tree/description/,"[u'Tree', u'Depth-first Search', u'Breadth-first Search']",Easy,"[u'LinkedIn\xa06', u'Amazon\xa06', u'Uber\xa02', u'Google\xa02', u'Facebook\xa02', u'Microsoft\xa0', u'Bloomberg\xa0']",0.410141685309,474.0037362875736,21.0,275000.0,101.0
"[u'Binary Tree Zigzag Level Order Traversal', u'Binary Tree Level Order Traversal II', u'Minimum Depth of Binary Tree', u'Binary Tree Vertical Order Traversal', u'Average of Levels in Binary Tree', u'N-ary Tree Level Order Traversal']",593500.0,731.0,False,BinaryTreeLevelOrderTraversal,https://leetcode.com/problems/binary-tree-level-order-traversal/description/,"[u'Tree', u'Breadth-first Search']",Medium,"[u'Amazon\xa07', u'Apple\xa05', u'LinkedIn\xa04', u'Google\xa04', u'Bloomberg\xa04', u'Microsoft\xa04', u'Facebook\xa03']",0.438416175232,435.22790066990945,20.0,260200.0,102.0
[u'Binary Tree Level Order Traversal'],395800.0,447.0,False,BinaryTreeZigzagLevelOrderTraversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/description/,"[u'Stack', u'Tree', u'Breadth-first Search']",Medium,"[u'Microsoft\xa08', u'Amazon\xa08', u'Facebook\xa03', u'Uber\xa03', u'Tencent\xa02', u'Google\xa02', u'Apple\xa02', u'eBay\xa02', u'Alibaba\xa02', u'Bloomberg\xa0', u'LinkedIn\xa0']",0.377210712481,337.7707029822368,25.0,149300.0,103.0
"[u'Balanced Binary Tree', u'Minimum Depth of Binary Tree', u'Maximum Depth of N-ary Tree']",639700.0,723.0,False,MaximumDepthofBinaryTree,https://leetcode.com/problems/maximum-depth-of-binary-tree/description/,"[u'Tree', u'Depth-first Search']",Easy,"[u'Amazon\xa08', u'LinkedIn\xa08', u'Alibaba\xa03', u'Bloomberg\xa02', u'Tencent\xa02', u'Facebook\xa02', u'Uber\xa0', u'Apple\xa0', u'Yahoo\xa0']",0.561513209317,600.7086073315354,26.0,359200.0,104.0
[u'Construct Binary Tree from Inorder and Postorder Traversal'],432000.0,832.0,False,ConstructBinaryTreefromPreorderandInorderTraversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/description/,"[u'Array', u'Tree', u'Depth-first Search']",Medium,"[u'Facebook\xa016', u'Microsoft\xa013', u'Bloomberg\xa05', u'Amazon\xa05', u'Adobe\xa02', u'Google\xa02']",0.356018518519,453.66012330676847,24.0,153800.0,105.0
[u'Construct Binary Tree from Preorder and Inorder Traversal'],332400.0,445.0,False,ConstructBinaryTreefromInorderandPostorderTraversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/description/,"[u'Array', u'Tree', u'Depth-first Search']",Medium,"[u'Microsoft\xa08', u'Facebook\xa06', u'Amazon\xa04']",0.348676293622,356.3575253279532,10.0,115900.0,106.0
"[u'Binary Tree Level Order Traversal', u'Average of Levels in Binary Tree']",405900.0,392.0,False,BinaryTreeLevelOrderTraversalII,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/description/,"[u'Tree', u'Breadth-first Search']",Easy,"[u'Amazon\xa06', u'Google\xa02']",0.431387041143,380.9666061775805,73.0,175100.0,107.0
